Initial Optimized Composition,Rounded Optimized Composition,Rounded Optimized Tc,Initial Optimized Tc,Rounded Optimized Ef,Initial Optimized Ef,structure_atom_count
C_{2.075766} Si_{9.843852} Ge_{109.0920} La_{43.98838} ,C_{2.0} Si_{10.0} Ge_{109.0} La_{44.0} ,1.3901324,1.3855729,-2.2649045,-2.2644382,165.0
C_{1.005143} N_{55.01614} Ge_{46.00377} Sn_{18.00340} Ce_{28.98620} Eu_{37.98533} ,C_{1.0} N_{55.0} Ge_{46.0} Sn_{18.0} Ce_{29.0} Eu_{38.0} ,1.3721153,1.3727843,-2.921325,-2.922164,187.0
N_{90.97375} La_{81.006} Pt_{19.02025} ,N_{91.0} La_{81.0} Pt_{19.0} ,1.307078,1.3143426,-3.1078916,-3.1071858,191.0
C_{51.99733} Si_{59.00240} Pr_{17.9886} Pb_{52.01164} ,C_{52.0} Si_{59.0} Pr_{18.0} Pb_{52.0} ,1.2521152,1.2533963,-2.4117594,-2.4118502,181.0
Si_{84.98579} Xe_{37.06019} Ce_{34.95401} ,Si_{85.0} Xe_{37.0} Ce_{35.0} ,1.2410907,1.2456554,-2.5469205,-2.5469196,157.0
Ge_{140.0136} La_{6.002839} Ce_{40.98350} ,Ge_{140.0} La_{6.0} Ce_{41.0} ,1.2309474,1.2309268,-2.2615569,-2.2613444,187.0
Ga_{58.00023} La_{32.99977} ,Ga_{58.0} La_{33.0} ,1.2267739,1.2267543,-1.8658295,-1.8658205,91.0
B_{34.00926} N_{39.97892} Ar_{46.0184} La_{26.94079} Ce_{8.036829} Tb_{19.01579} ,B_{34.0} N_{40.0} Ar_{46.0} La_{27.0} Ce_{8.0} Tb_{19.0} ,1.1868532,1.222298,-2.2032819,-2.2027526,174.0
Ga_{38.00183} La_{22.99816} ,Ga_{38.0} La_{23.0} ,1.2045404,1.2052375,-1.90564,-1.9055642,61.0
Ge_{32.95206} Sn_{46.02183} La_{31.02610} ,Ge_{33.0} Sn_{46.0} La_{31.0} ,1.1909676,1.1912167,-1.933414,-1.9335178,110.0
C_{84.94447} Al_{45.96825} Ba_{54.08728} ,C_{85.0} Al_{46.0} Ba_{54.0} ,1.163005,1.1535252,-1.4805726,-1.4815544,185.0
N_{21.00072} La_{18.99928} ,N_{21.0} La_{19.0} ,1.1500299,1.1499043,-3.2900019,-3.2900832,40.0
Al_{39.96224} P_{45.01302} Ar_{10.02879} Ga_{35.03042} La_{37.95045} Pt_{20.01506} ,Al_{40.0} P_{45.0} Ar_{10.0} Ga_{35.0} La_{38.0} Pt_{20.0} ,1.1371273,1.1454042,-1.7548163,-1.7546424,188.0
Ga_{83.03911} Ce_{28.95343} Tl_{10.00745} ,Ga_{83.0} Ce_{29.0} Tl_{10.0} ,1.113437,1.1308849,-1.7429377,-1.7415575,122.0
Si_{39.73382} K_{16.34126} Ge_{28.98571} Sr_{14.96911} Xe_{58.79285} Eu_{20.12511} Ho_{9.052101} ,Si_{40.0} K_{16.0} Ge_{29.0} Sr_{15.0} Xe_{59.0} Eu_{20.0} Ho_{9.0} ,1.1349003,1.116237,-1.8202552,-1.8115017,188.0
N_{41.00025} La_{35.99975} ,N_{41.0} La_{36.0} ,1.0959185,1.0958877,-3.3301783,-3.3301978,77.0
N_{64.99753} La_{57.00246} ,N_{65.0} La_{57.0} ,1.0929961,1.0931823,-3.332131,-3.3320074,122.0
Si_{99.95235} Ba_{23.02941} Ce_{42.01825} ,Si_{100.0} Ba_{23.0} Ce_{42.0} ,1.0952351,1.0816432,-2.360672,-2.3614411,165.0
N_{33.99957} La_{29.00043} ,N_{34.0} La_{29.0} ,1.0425777,1.0426191,-3.3773186,-3.3772724,63.0
Si_{104.9984} Po_{92.00151} ,Si_{105.0} Po_{92.0} ,1.038157,1.038224,-1.7269757,-1.7269462,197.0
Si_{63.08898} Cl_{83.79725} Ge_{42.11377} ,Si_{63.0} Cl_{84.0} Ge_{42.0} ,0.8708392,0.94086534,-2.4184158,-2.4184003,189.0
N_{105.0143} La_{85.98566} ,N_{105.0} La_{86.0} ,0.88641834,0.88417614,-3.461977,-3.4626503,191.0
N_{82.99569} La_{63.00431} ,N_{83.0} La_{63.0} ,0.4848549,0.48573482,-3.639008,-3.6387556,146.0
C_{14.98360} Cl_{14.98379} Ge_{2.069525} La_{9.946269} Pt_{10.01925} Tl_{17.99755} ,C_{15.0} Cl_{15.0} Ge_{2.0} La_{10.0} Pt_{10.0} Tl_{18.0} ,0.0,0.032220602,-1.1235574,-1.1383203,70.0
O_{134.9961} Gd_{44.00391} ,O_{135.0} Gd_{44.0} ,0.0,0.0,-4.4038067,-4.4037914,179.0
O_{124.9982} La_{39.00179} ,O_{125.0} La_{39.0} ,0.0,0.0,-4.3040133,-4.304081,164.0
Si_{56.98701} K_{41.01807} Cu_{24.99491} ,Si_{57.0} K_{41.0} Cu_{25.0} ,0.0,0.0,-1.2116382,-1.2116714,123.0
Si_{46.00960} Ar_{28.99904} Nd_{32.00612} Eu_{12.98523} ,Si_{46.0} Ar_{29.0} Nd_{32.0} Eu_{13.0} ,0.0,0.0,-2.2952647,-2.2955503,120.0
O_{86.99818} Gd_{31.00182} ,O_{87.0} Gd_{31.0} ,0.0,0.0,-4.3721623,-4.3721185,118.0
O_{124.9937} Tl_{58.00624} ,O_{125.0} Tl_{58.0} ,0.0,0.0,-4.256311,-4.2560563,183.0
P_{137.0020} Nd_{57.99791} ,P_{137.0} Nd_{58.0} ,0.0,0.0,-2.8931975,-2.8931499,195.0
O_{85.00102} La_{28.99898} ,O_{85.0} La_{29.0} ,0.0,0.0,-4.3597775,-4.359772,114.0
N_{96.00262} Dy_{58.99739} ,N_{96.0} Dy_{59.0} ,0.0,0.0,-3.9064503,-3.9062824,155.0
O_{58.00742} Ar_{18.00637} Dy_{18.98620} ,O_{58.0} Ar_{18.0} Dy_{19.0} ,0.0,0.0,-3.6487296,-3.649107,95.0
P_{79.99702} Cs_{33.00298} ,P_{80.0} Cs_{33.0} ,0.0,0.0,-2.777554,-2.777483,113.0
O_{109.9976} Nd_{41.03717} Pb_{9.965202} ,O_{110.0} Nd_{41.0} Pb_{10.0} ,0.0,0.0,-4.458684,-4.458988,161.0
O_{115.9990} La_{41.00097} ,O_{116.0} La_{41.0} ,0.0,0.0,-4.357017,-4.357009,157.0
N_{110.0001} Gd_{66.99987} ,N_{110.0} Gd_{67.0} ,0.0,0.0,-3.934123,-3.9341216,177.0
O_{101.9986} La_{43.00132} ,O_{102.0} La_{43.0} ,0.0,0.0,-4.248919,-4.2488666,145.0
O_{147.0023} Cs_{49.99761} ,O_{147.0} Cs_{50.0} ,0.0,0.0,-4.3384714,-4.3384676,197.0
In_{64.98340} Nd_{78.01659} ,In_{65.0} Nd_{78.0} ,0.0,0.0,-2.0477943,-2.0476499,143.0
O_{70.00115} Tl_{24.99884} ,O_{70.0} Tl_{25.0} ,0.0,0.0,-4.51445,-4.5144525,95.0
O_{65.99921} Tb_{23.00078} ,O_{66.0} Tb_{23.0} ,0.0,0.0,-4.363029,-4.363029,89.0
O_{139.0002} Pb_{38.99972} ,O_{139.0} Pb_{39.0} ,0.0,0.0,-4.3703628,-4.3703637,178.0
O_{150.9766} Pb_{43.02335} ,O_{151.0} Pb_{43.0} ,0.0,0.0,-4.368373,-4.3682733,194.0
N_{96.99937} Gd_{64.00062} ,N_{97.0} Gd_{64.0} ,0.0,0.0,-3.9425,-3.9425,161.0
O_{98.9928} Cl_{58.00720} ,O_{99.0} Cl_{58.0} ,0.0,0.0,-4.1875196,-4.18736,157.0
C_{12.97454} Sn_{79.98745} La_{48.09303} Nd_{54.94496} ,C_{13.0} Sn_{80.0} La_{48.0} Nd_{55.0} ,0.0,0.0,-1.8415642,-1.8411218,196.0
O_{87.00197} La_{31.99803} ,O_{87.0} La_{32.0} ,0.0,0.0,-4.342817,-4.342853,119.0
N_{114.0120} La_{78.98798} ,N_{114.0} La_{79.0} ,0.0,0.0,-3.73271,-3.732831,193.0
O_{148.9954} La_{47.00454} ,O_{149.0} La_{47.0} ,0.0,0.0,-4.315197,-4.3153205,196.0
O_{57.00146} Br_{26.99853} ,O_{57.0} Br_{27.0} ,0.0,0.0,-4.253239,-4.2532735,84.0
P_{117.9976} Tl_{47.00241} ,P_{118.0} Tl_{47.0} ,0.0,0.0,-2.9125035,-2.9124527,165.0
P_{99.00569} Nd_{50.99431} ,P_{99.0} Nd_{51.0} ,0.0,0.0,-3.012171,-3.0121193,150.0
O_{101.0014} La_{30.99851} ,O_{101.0} La_{31.0} ,0.0,0.0,-4.285318,-4.2852454,132.0
O_{135.0095} Ar_{37.99045} ,O_{135.0} Ar_{38.0} ,0.0,0.0,-3.9688895,-3.968247,173.0
N_{103.9974} Pb_{47.00255} ,N_{104.0} Pb_{47.0} ,0.0,0.0,-4.1715503,-4.171616,151.0
O_{111.9964} La_{39.0036} ,O_{112.0} La_{39.0} ,0.0,0.0,-4.3604074,-4.360389,151.0
B_{18.96804} As_{59.92244} Cs_{47.11016} Ba_{25.99936} ,B_{19.0} As_{60.0} Cs_{47.0} Ba_{26.0} ,0.0,0.0,-1.2286245,-1.2263082,152.0
O_{72.99737} La_{27.00263} ,O_{73.0} La_{27.0} ,0.0,0.0,-4.340359,-4.340299,100.0
O_{40.99859} Tb_{13.00140} ,O_{41.0} Tb_{13.0} ,0.0,0.0,-4.3280454,-4.3281107,54.0
O_{71.00076} Nd_{37.99923} ,O_{71.0} Nd_{38.0} ,0.0,0.0,-4.4179997,-4.4180207,109.0
O_{143.9932} Eu_{37.00676} ,O_{144.0} Eu_{37.0} ,0.0,0.0,-3.9670868,-3.9678166,181.0
O_{120.0040} Ba_{42.99599} ,O_{120.0} Ba_{43.0} ,0.0,0.0,-4.353697,-4.35373,163.0
O_{126.0020} Pb_{36.99793} ,O_{126.0} Pb_{37.0} ,0.0,0.0,-4.3618693,-4.3618875,163.0
N_{10.99942} La_{7.000577} ,N_{11.0} La_{7.0} ,0.0,0.0,-3.7567627,-3.7567477,18.0
P_{136.9993} Pr_{49.00069} ,P_{137.0} Pr_{49.0} ,0.0,0.0,-2.6647134,-2.6647108,186.0
O_{137.017} Ar_{48.98299} ,O_{137.0} Ar_{49.0} ,0.0,0.0,-4.123257,-4.123691,186.0
O_{23.99999} Cl_{13.00000} ,O_{24.0} Cl_{13.0} ,0.0,0.0,-4.23776,-4.23776,37.0
N_{88.99339} Tb_{53.00660} ,N_{89.0} Tb_{53.0} ,0.0,0.0,-3.934699,-3.9350026,142.0
O_{134.9946} Ba_{46.00540} ,O_{135.0} Ba_{46.0} ,0.0,0.0,-4.3566628,-4.356676,181.0
N_{64.99241} Pb_{30.00759} ,N_{65.0} Pb_{30.0} ,0.0,0.0,-4.1881924,-4.188473,95.0
P_{131.0446} Br_{65.9554} ,P_{131.0} Br_{66.0} ,0.0,0.0,-2.8731346,-2.8729386,197.0
N_{102.0070} Ce_{70.9929} ,N_{102.0} Ce_{71.0} ,0.0,0.0,-3.807959,-3.808174,173.0
Al_{49.92357} Sn_{25.02948} Xe_{51.81363} Tl_{26.23331} ,Al_{50.0} Sn_{25.0} Xe_{52.0} Tl_{26.0} ,0.0,0.0,-1.7537879,-1.7537223,153.0
N_{78.99740} Xe_{46.00259} ,N_{79.0} Xe_{46.0} ,0.0,0.0,-3.741953,-3.7419431,125.0
Si_{49.95413} Ge_{77.08752} Pr_{53.95836} ,Si_{50.0} Ge_{77.0} Pr_{54.0} ,0.0,0.0,-2.3879128,-2.3872025,181.0
O_{150.9984} La_{46.00155} ,O_{151.0} La_{46.0} ,0.0,0.0,-4.2764907,-4.276544,197.0
O_{137.0021} La_{46.99781} ,O_{137.0} La_{47.0} ,0.0,0.0,-4.360335,-4.360328,184.0
P_{121.1290} I_{32.97552} Tl_{27.89545} ,P_{121.0} I_{33.0} Tl_{28.0} ,0.0,0.0,-3.0129027,-3.0138469,182.0
O_{2.997509} La_{1.002491} ,O_{3.0} La_{1.0} ,0.0,0.0,-4.3539915,-4.35489,4.0
P_{61.00096} Tl_{24.99904} ,P_{61.0} Tl_{25.0} ,0.0,0.0,-2.8892682,-2.8893144,86.0
O_{103.9997} La_{35.00022} ,O_{104.0} La_{35.0} ,0.0,0.0,-4.356519,-4.3565216,139.0
N_{99.00187} Pb_{46.99813} ,N_{99.0} Pb_{47.0} ,0.0,0.0,-4.1917925,-4.191794,146.0
O_{103.9999} Tl_{37.00009} ,O_{104.0} Tl_{37.0} ,0.0,0.0,-4.514609,-4.514609,141.0
O_{124.0007} Xe_{46.99924} ,O_{124.0} Xe_{47.0} ,0.0,0.0,-4.3130174,-4.313037,171.0
O_{109.0051} La_{36.99486} ,O_{109.0} La_{37.0} ,0.0,0.0,-4.358737,-4.3586903,146.0
O_{79.99828} Tl_{27.00171} ,O_{80.0} Tl_{27.0} ,0.0,0.0,-4.510691,-4.5107245,107.0
C_{51.06483} Ge_{97.93103} Cd_{6.077554} La_{12.80116} Dy_{22.02689} Ho_{6.098532} ,C_{51.0} Ge_{98.0} Cd_{6.0} La_{13.0} Dy_{22.0} Ho_{6.0} ,0.0,0.0,-1.243884,-1.2405018,196.0
N_{46.00214} Gd_{26.99785} ,N_{46.0} Gd_{27.0} ,0.0,0.0,-3.909779,-3.909668,73.0
N_{83.00123} Pb_{44.99877} ,N_{83.0} Pb_{45.0} ,0.0,0.0,-4.1190515,-4.119111,128.0
O_{61.00098} Pm_{19.99901} ,O_{61.0} Pm_{20.0} ,0.0,0.0,-4.3458743,-4.3458257,81.0
C_{42.97960} Ga_{54.19128} Nd_{76.86271} Dy_{19.96640} ,C_{43.0} Ga_{54.0} Nd_{77.0} Dy_{20.0} ,0.0,0.0,-1.9979249,-1.996363,194.0
N_{75.00006} La_{42.99994} ,N_{75.0} La_{43.0} ,0.0,0.0,-3.7630966,-3.7630944,118.0
O_{17.00223} Pb_{4.997767} ,O_{17.0} Pb_{5.0} ,0.0,0.0,-4.3614616,-4.361612,22.0
O_{77.00133} Nd_{42.99867} ,O_{77.0} Nd_{43.0} ,0.0,0.0,-4.3900414,-4.390075,120.0
O_{56.00139} Nd_{26.99860} ,O_{56.0} Nd_{27.0} ,0.0,0.0,-4.4812837,-4.481323,83.0
O_{108.9909} Br_{53.00904} ,O_{109.0} Br_{53.0} ,0.0,0.0,-4.242519,-4.2424088,162.0
C_{85.01279} Dy_{100.9872} ,C_{85.0} Dy_{101.0} ,0.0,0.0,-1.8972982,-1.8975009,186.0
O_{36.00239} La_{12.99760} ,O_{36.0} La_{13.0} ,0.0,0.0,-4.349885,-4.3499856,49.0
N_{114.9985} Er_{72.00146} ,N_{115.0} Er_{72.0} ,0.0,0.0,-3.91124,-3.9112291,187.0
N_{113.0040} Ar_{75.99599} ,N_{113.0} Ar_{76.0} ,0.0,0.0,-3.9571302,-3.9571729,189.0
O_{121.0017} Nd_{47.99827} ,O_{121.0} Nd_{48.0} ,0.0,0.0,-4.4582677,-4.4582243,169.0
O_{112.0051} Nd_{54.99481} ,O_{112.0} Nd_{55.0} ,0.0,0.0,-4.4708323,-4.470915,167.0
O_{137.9840} Br_{37.96259} Tb_{17.05339} ,O_{138.0} Br_{38.0} Tb_{17.0} ,0.0,0.0,-4.334329,-4.3354416,193.0
Ge_{47.00543} Nd_{13.97582} Gd_{3.018737} ,Ge_{47.0} Nd_{14.0} Gd_{3.0} ,0.0,0.0,-2.1885374,-2.1881702,64.0
O_{81.93165} Ge_{49.02486} La_{59.04348} ,O_{82.0} Ge_{49.0} La_{59.0} ,0.0,0.0,-3.617727,-3.61642,190.0
O_{141.0069} Pb_{38.99308} ,O_{141.0} Pb_{39.0} ,0.0,0.0,-4.3714247,-4.3714385,180.0
C_{57.91697} Al_{26.04947} Xe_{41.98428} Er_{53.04927} ,C_{58.0} Al_{26.0} Xe_{42.0} Er_{53.0} ,0.0,0.0,-1.8758552,-1.8756973,179.0
O_{21.00343} I_{0.993401} Tb_{7.003163} ,O_{21.0} I_{1.0} Tb_{7.0} ,0.0,0.0,-4.404468,-4.4045753,29.0
O_{131.0192} Nd_{53.98073} ,O_{131.0} Nd_{54.0} ,0.0,0.0,-4.487864,-4.487568,185.0
P_{121.0038} Nd_{55.99619} ,P_{121.0} Nd_{56.0} ,0.0,0.0,-2.9619522,-2.9618845,177.0
N_{73.99789} Cs_{43.00211} ,N_{74.0} Cs_{43.0} ,0.0,0.0,-3.8712082,-3.8711784,117.0
H_{48.03373} Na_{34.9551} La_{49.01116} ,H_{48.0} Na_{35.0} La_{49.0} ,0.0,0.0,-0.6414913,-0.64151347,132.0
O_{94.00537} La_{32.99463} ,O_{94.0} La_{33.0} ,0.0,0.0,-4.35871,-4.3587656,127.0
O_{72.99877} Gd_{23.00123} ,O_{73.0} Gd_{23.0} ,0.0,0.0,-4.4027495,-4.402781,96.0
O_{32.00076} Nd_{14.99924} ,O_{32.0} Nd_{15.0} ,0.0,0.0,-4.4940677,-4.494077,47.0
N_{109.9974} Pb_{61.00255} ,N_{110.0} Pb_{61.0} ,0.0,0.0,-4.0859694,-4.0858655,171.0
O_{71.99691} La_{25.00308} ,O_{72.0} La_{25.0} ,0.0,0.0,-4.360824,-4.360808,97.0
O_{23.99893} Nd_{11.00106} ,O_{24.0} Nd_{11.0} ,0.0,0.0,-4.4973006,-4.4972825,35.0
C_{70.99785} Gd_{76.00215} ,C_{71.0} Gd_{76.0} ,0.0,0.0,-1.860616,-1.8606385,147.0
O_{154.9965} Pb_{42.00347} ,O_{155.0} Pb_{42.0} ,0.0,0.0,-4.3696904,-4.369704,197.0
O_{113.0022} Nd_{53.99774} ,O_{113.0} Nd_{54.0} ,0.0,0.0,-4.485798,-4.4858284,167.0
O_{80.00262} Tl_{26.99737} ,O_{80.0} Tl_{27.0} ,0.0,0.0,-4.510691,-4.5106397,107.0
P_{125.0017} I_{63.99821} ,P_{125.0} I_{64.0} ,0.0,0.0,-2.9468808,-2.9468799,189.0
N_{69.00246} Dy_{43.99754} ,N_{69.0} Dy_{44.0} ,0.0,0.0,-3.9379134,-3.937868,113.0
O_{108.9996} La_{35.00035} ,O_{109.0} La_{35.0} ,0.0,0.0,-4.3319607,-4.331972,144.0
N_{3.000328} Gd_{1.999672} ,N_{3.0} Gd_{2.0} ,0.0,0.0,-3.9413338,-3.9414368,5.0
O_{106.0350} Cs_{7.956964} Tb_{35.00799} ,O_{106.0} Cs_{8.0} Tb_{35.0} ,0.0,0.0,-4.2719655,-4.273504,149.0
P_{71.00307} Ce_{27.99692} ,P_{71.0} Ce_{28.0} ,0.0,0.0,-2.7061443,-2.706161,99.0
O_{48.02184} Br_{12.98330} Dy_{3.994857} ,O_{48.0} Br_{13.0} Dy_{4.0} ,0.0,0.0,-3.9275885,-3.9232602,65.0
O_{153.0349} La_{45.96505} ,O_{153.0} La_{46.0} ,0.0,0.0,-4.2597337,-4.2584853,199.0
Si_{57.00191} Ge_{67.94398} Dy_{66.0541} ,Si_{57.0} Ge_{68.0} Dy_{66.0} ,0.0,0.0,-2.368433,-2.3691,191.0
O_{126.9953} La_{43.00462} ,O_{127.0} La_{43.0} ,0.0,0.0,-4.358087,-4.3581223,170.0
N_{107.0069} Pr_{69.99309} ,N_{107.0} Pr_{70.0} ,0.0,0.0,-3.732062,-3.7320712,177.0
O_{53.00354} Dy_{21.99645} ,O_{53.0} Dy_{22.0} ,0.0,0.0,-4.1198764,-4.1198792,75.0
C_{91.00973} Gd_{94.99027} ,C_{91.0} Gd_{95.0} ,0.0,0.0,-1.8501146,-1.8500155,186.0
O_{145.0009} La_{41.99905} ,O_{145.0} La_{42.0} ,0.0,0.0,-4.2042084,-4.204148,187.0
O_{142.9948} Tl_{49.00519} ,O_{143.0} Tl_{49.0} ,0.0,0.0,-4.5131807,-4.5131946,192.0
O_{54.99991} Pb_{16.00009} ,O_{55.0} Pb_{16.0} ,0.0,0.0,-4.3642592,-4.3642573,71.0
P_{46.99889} Tl_{20.00109} ,P_{47.0} Tl_{20.0} ,0.0,0.0,-2.8567212,-2.8566492,67.0
O_{122.0108} Nd_{56.98919} ,O_{122.0} Nd_{57.0} ,0.0,0.0,-4.4944615,-4.494493,179.0
C_{26.02155} Sn_{51.04174} La_{12.93339} Nd_{63.00330} ,C_{26.0} Sn_{51.0} La_{13.0} Nd_{63.0} ,0.0,0.0,-1.97217,-1.9721967,153.0
O_{137.0320} Nd_{60.96791} ,O_{137.0} Nd_{61.0} ,0.0,0.0,-4.5010343,-4.501121,198.0
N_{19.00070} Kr_{12.99929} ,N_{19.0} Kr_{13.0} ,0.0,0.0,-3.9048696,-3.9048924,32.0
N_{103.9997} Gd_{69.00020} ,N_{104.0} Gd_{69.0} ,0.0,0.0,-3.9425998,-3.9426003,173.0
O_{100.9994} La_{32.00057} ,O_{101.0} La_{32.0} ,0.0,0.0,-4.3194366,-4.3194585,133.0
O_{122.9929} Cl_{66.00702} ,O_{123.0} Cl_{66.0} ,0.0,0.0,-4.242066,-4.241991,189.0
C_{57.97747} La_{39.07129} Pm_{14.97320} Ho_{24.99073} Pt_{15.98728} ,C_{58.0} La_{39.0} Pm_{15.0} Ho_{25.0} Pt_{16.0} ,0.0,0.0,-1.4770322,-1.4771088,153.0
O_{106.9947} La_{35.00524} ,O_{107.0} La_{35.0} ,0.0,0.0,-4.3478765,-4.3479667,142.0
O_{70.99677} Tl_{27.00322} ,O_{71.0} Tl_{27.0} ,0.0,0.0,-4.4977856,-4.4976773,98.0
O_{2.99993} La_{1.00007} ,O_{3.0} La_{1.0} ,0.0,0.0,-4.3539915,-4.3540187,4.0
Si_{97.00084} Tb_{71.99915} ,Si_{97.0} Tb_{72.0} ,0.0,0.0,-2.3867278,-2.3867235,169.0
N_{105.9866} Ar_{81.0134} ,N_{106.0} Ar_{81.0} ,0.0,0.0,-3.8125153,-3.8120022,187.0
O_{136.0073} Gd_{42.99266} ,O_{136.0} Gd_{43.0} ,0.0,0.0,-4.403356,-4.4033365,179.0
N_{114.0055} La_{72.99448} ,N_{114.0} La_{73.0} ,0.0,0.0,-3.755981,-3.7559972,187.0
O_{104.0042} La_{36.99577} ,O_{104.0} La_{37.0} ,0.0,0.0,-4.3553634,-4.3554015,141.0
P_{99.99602} I_{51.00398} ,P_{100.0} I_{51.0} ,0.0,0.0,-2.946745,-2.9467487,151.0
O_{137.0104} La_{47.98954} ,O_{137.0} La_{48.0} ,0.0,0.0,-4.3592143,-4.3592877,185.0
N_{126.9913} Pb_{56.00860} ,N_{127.0} Pb_{56.0} ,0.0,0.0,-4.1439943,-4.144419,183.0
N_{80.99935} Cs_{47.00064} ,N_{81.0} Cs_{47.0} ,0.0,0.0,-3.87176,-3.871751,128.0
O_{72.99781} Tb_{29.00219} ,O_{73.0} Tb_{29.0} ,0.0,0.0,-4.3033814,-4.3032813,102.0
O_{112.0072} Br_{18.98926} Er_{22.00345} ,O_{112.0} Br_{19.0} Er_{22.0} ,0.0,0.0,-4.3625026,-4.362291,153.0
O_{88.99812} La_{31.00188} ,O_{89.0} La_{31.0} ,0.0,0.0,-4.3603644,-4.360352,120.0
O_{24.99928} Nd_{12.00071} ,O_{25.0} Nd_{12.0} ,0.0,0.0,-4.483547,-4.483502,37.0
O_{27.00038} La_{10.99961} ,O_{27.0} La_{11.0} ,0.0,0.0,-4.2823257,-4.2823653,38.0
O_{125.0011} La_{42.99882} ,O_{125.0} La_{43.0} ,0.0,0.0,-4.3606157,-4.360612,168.0
O_{90.00282} Tb_{30.99718} ,O_{90.0} Tb_{31.0} ,0.0,0.0,-4.361412,-4.361361,121.0
O_{46.99688} La_{23.00311} ,O_{47.0} La_{23.0} ,0.0,0.0,-4.038532,-4.038238,70.0
O_{135.0161} La_{42.98382} ,O_{135.0} La_{43.0} ,0.0,0.0,-4.324323,-4.3238673,178.0
O_{97.99873} Nd_{41.00127} ,O_{98.0} Nd_{41.0} ,0.0,0.0,-4.495461,-4.495466,139.0
C_{73.00092} Pb_{67.99908} ,C_{73.0} Pb_{68.0} ,0.0,0.0,-2.0109305,-2.0109258,141.0
O_{150.9923} Pd_{48.00765} ,O_{151.0} Pd_{48.0} ,0.0,0.0,-3.0771842,-3.0774286,199.0
C_{53.00145} Ce_{54.99854} ,C_{53.0} Ce_{55.0} ,0.0,0.0,-1.6461979,-1.6462291,108.0
N_{100.9985} Gd_{66.00146} ,N_{101.0} Gd_{66.0} ,0.0,0.0,-3.9420576,-3.942059,167.0
O_{135.009} La_{51.99100} ,O_{135.0} La_{52.0} ,0.0,0.0,-4.319568,-4.319721,187.0
O_{24.99765} La_{11.00234} ,O_{25.0} La_{11.0} ,0.0,0.0,-4.1938562,-4.193447,36.0
O_{29.00059} La_{9.99941} ,O_{29.0} La_{10.0} ,0.0,0.0,-4.360864,-4.3608565,39.0
O_{70.99951} Ba_{24.00049} ,O_{71.0} Ba_{24.0} ,0.0,0.0,-4.3559933,-4.3559957,95.0
N_{112.9953} Ar_{78.00465} ,N_{113.0} Ar_{78.0} ,0.0,0.0,-3.9445076,-3.9444585,191.0
O_{120.9187} Si_{6.01084} La_{50.07045} ,O_{121.0} Si_{6.0} La_{50.0} ,0.0,0.0,-4.2357726,-4.2345757,177.0
P_{114.9999} Xe_{49.00003} ,P_{115.0} Xe_{49.0} ,0.0,0.0,-2.788187,-2.7881868,164.0
O_{112.0016} La_{38.99833} ,O_{112.0} La_{39.0} ,0.0,0.0,-4.3604074,-4.3604164,151.0
O_{151.0070} Pb_{38.99293} ,O_{151.0} Pb_{39.0} ,0.0,0.0,-4.3604727,-4.3604126,190.0
N_{94.99933} Tb_{59.00068} ,N_{95.0} Tb_{59.0} ,0.0,0.0,-3.9693751,-3.9693766,154.0
O_{99.00099} La_{35.99901} ,O_{99.0} La_{36.0} ,0.0,0.0,-4.347124,-4.3471375,135.0
B_{40.99236} Zn_{25.00197} As_{72.00073} Pb_{61.00491} ,B_{41.0} Zn_{25.0} As_{72.0} Pb_{61.0} ,0.0,0.0,-0.97902775,-0.9791428,199.0
B_{7.969146} Al_{24.01355} Ga_{8.011961} Mo_{31.98861} Tb_{15.02368} Pb_{31.99303} ,B_{8.0} Al_{24.0} Ga_{8.0} Mo_{32.0} Tb_{15.0} Pb_{32.0} ,0.0,0.0,-1.9361397,-1.93617,119.0
O_{132.963} Nd_{59.03701} ,O_{133.0} Nd_{59.0} ,0.0,0.0,-4.501457,-4.501354,192.0
O_{50.00140} Tl_{12.99859} ,O_{50.0} Tl_{13.0} ,0.0,0.0,-3.9887118,-3.988354,63.0
N_{30.99942} La_{18.00057} ,N_{31.0} La_{18.0} ,0.0,0.0,-3.7695773,-3.769569,49.0
C_{15.97088} Si_{19.99898} Cs_{7.997874} Pb_{41.03226} ,C_{16.0} Si_{20.0} Cs_{8.0} Pb_{41.0} ,0.0,0.0,-2.1473062,-2.1456754,85.0
O_{137.9767} La_{55.02326} ,O_{138.0} La_{55.0} ,0.0,0.0,-4.2964134,-4.2960515,193.0
Cd_{71.99586} Xe_{79.00414} ,Cd_{72.0} Xe_{79.0} ,0.0,0.0,-1.2909731,-1.2909518,151.0
O_{30.00539} Ce_{8.994599} ,O_{30.0} Ce_{9.0} ,0.0,0.0,-4.289309,-4.2882977,39.0
N_{101.9982} Ar_{73.00172} ,N_{102.0} Ar_{73.0} ,0.0,0.0,-3.9145873,-3.9145312,175.0
O_{84.99679} I_{43.0032} ,O_{85.0} I_{43.0} ,0.0,0.0,-4.171248,-4.171238,128.0
O_{22.99805} Gd_{9.001943} ,O_{23.0} Gd_{9.0} ,0.0,0.0,-4.3101025,-4.309882,32.0
O_{130.0649} Xe_{29.00237} Er_{17.93268} ,O_{130.0} Xe_{29.0} Er_{18.0} ,0.0,0.0,-4.431977,-4.433468,177.0
