Initial Optimized Composition,Rounded Optimized Composition,Rounded Optimized Tc,Initial Optimized Tc,Rounded Optimized Ef,Initial Optimized Ef,structure_atom_count
B_{14.79749} Cu_{29.06474} Tc_{9.94769} Ag_{37.01111} Sn_{11.91315} Ba_{30.39201} Gd_{16.87379} ,B_{15.0} Cu_{29.0} Tc_{10.0} Ag_{37.0} Sn_{12.0} Ba_{30.0} Gd_{17.0} ,83.46154,83.054924,-0.9014855,-0.9002601,150.0
Ca_{8.972308} V_{20.78448} Cu_{48.15555} La_{46.82588} Yb_{13.05662} Pt_{29.20514} ,Ca_{9.0} V_{21.0} Cu_{48.0} La_{47.0} Yb_{13.0} Pt_{29.0} ,82.88195,82.83678,-0.05897729,-0.058517553,167.0
B_{40.97437} C_{26.06289} Al_{13.88529} Ca_{30.19599} As_{37.82786} Ba_{17.06097} La_{4.992608} ,B_{41.0} C_{26.0} Al_{14.0} Ca_{30.0} As_{38.0} Ba_{17.0} La_{5.0} ,82.52271,82.56361,-0.8256217,-0.82961994,171.0
C_{31.92533} O_{31.97454} Ca_{26.07940} Sc_{19.75493} Zn_{22.99630} Y_{26.19385} Ba_{20.07564} ,C_{32.0} O_{32.0} Ca_{26.0} Sc_{20.0} Zn_{23.0} Y_{26.0} Ba_{20.0} ,82.30792,82.504684,-1.2600912,-1.258134,179.0
B_{0.953772} Mg_{37.03023} Si_{3.948274} Cu_{46.10262} Y_{26.89171} La_{14.97453} Pt_{32.02052} Bi_{37.07832} ,B_{1.0} Mg_{37.0} Si_{4.0} Cu_{46.0} Y_{27.0} La_{15.0} Pt_{32.0} Bi_{37.0} ,81.96127,82.15612,0.09758441,0.09791394,199.0
Rb_{28.95281} Ba_{29.03189} La_{10.08348} Eu_{4.960927} Tb_{15.00768} Re_{50.01393} Pt_{36.01583} Au_{13.93344} ,Rb_{29.0} Ba_{29.0} La_{10.0} Eu_{5.0} Tb_{15.0} Re_{50.0} Pt_{36.0} Au_{14.0} ,82.11298,82.11533,-0.70324576,-0.70339566,188.0
Si_{30.00712} Ca_{36.93774} Sr_{35.98303} Y_{20.01009} Lu_{10.03249} Pt_{53.02952} ,Si_{30.0} Ca_{37.0} Sr_{36.0} Y_{20.0} Lu_{10.0} Pt_{53.0} ,81.82491,81.86832,0.2993548,0.29936904,186.0
Be_{26.10735} B_{24.02273} O_{30.97902} Cu_{37.95494} Rb_{24.95401} La_{13.99333} Pt_{19.98858} ,Be_{26.0} B_{24.0} O_{31.0} Cu_{38.0} Rb_{25.0} La_{14.0} Pt_{20.0} ,81.55539,81.675934,-1.0285314,-1.0260754,178.0
B_{14.04861} C_{14.00614} O_{29.07968} Tc_{29.03417} Ba_{39.9327} Er_{20.96256} Yb_{44.03381} Pt_{5.902314} ,B_{14.0} C_{14.0} O_{29.0} Tc_{29.0} Ba_{40.0} Er_{21.0} Yb_{44.0} Pt_{6.0} ,81.42341,81.53532,-1.231684,-1.2347918,197.0
B_{34.98962} N_{41.02121} O_{7.024604} Ca_{21.96329} Ba_{20.9329} Dy_{7.957892} Pt_{42.11049} ,B_{35.0} N_{41.0} O_{7.0} Ca_{22.0} Ba_{21.0} Dy_{8.0} Pt_{42.0} ,81.23261,81.37253,-1.6776763,-1.6756483,176.0
B_{38.27964} C_{48.99555} Ca_{36.88554} Ba_{19.10351} Pt_{37.73573} ,B_{38.0} C_{49.0} Ca_{37.0} Ba_{19.0} Pt_{38.0} ,80.89977,80.773674,-0.7348519,-0.73738176,181.0
B_{13.07611} C_{16.01581} Ca_{29.03487} As_{36.93973} Ba_{20.99811} La_{13.05194} Pt_{42.88339} ,B_{13.0} C_{16.0} Ca_{29.0} As_{37.0} Ba_{21.0} La_{13.0} Pt_{43.0} ,79.8584,80.0138,-0.65508574,-0.6567132,172.0
Li_{10.97707} B_{3.978755} C_{23.98389} Ca_{49.02841} Cu_{61.01253} La_{30.94964} Pb_{9.069678} ,Li_{11.0} B_{4.0} C_{24.0} Ca_{49.0} Cu_{61.0} La_{31.0} Pb_{9.0} ,79.701645,79.73979,-0.6844579,-0.68418676,189.0
C_{12.99840} Cu_{40.97043} Sr_{31.95989} Cs_{25.08562} La_{7.993054} Pt_{13.99260} ,C_{13.0} Cu_{41.0} Sr_{32.0} Cs_{25.0} La_{8.0} Pt_{14.0} ,79.372116,79.384476,-0.6570736,-0.65857226,133.0
B_{2.894294} C_{34.14232} K_{15.84368} Cu_{40.13651} Sr_{24.73438} Cs_{13.15325} Yb_{10.97851} Pt_{48.11703} ,B_{3.0} C_{34.0} K_{16.0} Cu_{40.0} Sr_{25.0} Cs_{13.0} Yb_{11.0} Pt_{48.0} ,78.90138,78.760574,0.13695012,0.13726953,190.0
B_{24.01646} O_{31.97701} Ne_{19.00881} Ca_{29.98923} Ba_{26.03989} La_{3.955057} Pt_{37.01352} ,B_{24.0} O_{32.0} Ne_{19.0} Ca_{30.0} Ba_{26.0} La_{4.0} Pt_{37.0} ,78.09235,78.114296,-1.4621111,-1.4617532,172.0
Be_{13.26317} C_{73.00635} Ca_{41.17961} Co_{26.64673} Ni_{6.95013} Ga_{17.94203} La_{19.01197} ,Be_{13.0} C_{73.0} Ca_{41.0} Co_{27.0} Ni_{7.0} Ga_{18.0} La_{19.0} ,77.59513,77.89159,-0.97879773,-0.9816707,198.0
